live,name,lan,kommun,address,website,phone,products,onSiteSales,tastingRoom,openingHours,season,rating,reviewCount,source,place_id,_source_file
no,Blåherremölla,Skåne,,"Blåherremöllevägen 10, 297 95 Degeberga, Sverige",http://www.blaherremolla.se/,070-867 02 78,annat,yes,yes,"måndag: 23:30–00:00, tisdag: Stängt, onsdag: Stängt, torsdag: Stängt, fredag: Stängt, lördag: Stängt, söndag: Stängt",,4.3,112,google-places:gårdsrestaurang,ChIJwc-kO1wTVEYRyPl6Mh9ya-I,google-places-farms-expansion.json
yes,Bokeslundsgården,Skåne,Hörby,"Norrto 3217, 242 93 Hörby, Sverige",https://bokeslundsgarden.wordpress.com/,070-456 48 09,annat,yes,no,,,4.2,13,google-places:gårdsbutik,ChIJc-u5ATrzU0YRA3GTh6m9Klw,google-places-farms-expansion.json
yes,Bondens Skafferi AB,Skåne,,"Koriandervägen 5, 296 41 Åhus, Sverige",http://www.bondensskafferi.se/,044-970 97,annat,no,no,,,,,google-places:lokal producent mat,ChIJLVzvHQAZVEYRrD8lqXd27wY,google-places-farms-expansion.json
yes,Bondmorans Lanthandel - Eko & Gårdsbutik,Skåne,,"Linderödsvägen 150, 298 91 Tollarp, Sverige",http://www.bondmoranslanthandel.se/,076-137 81 73,annat,yes,no,"måndag: 10:00–18:00, tisdag: 10:00–18:00, onsdag: 10:00–18:00, torsdag: 10:00–18:00, fredag: 10:00–18:00, lördag: 10:00–14:00, söndag: Stängt",,3.9,16,google-places:gårdsbutik,ChIJnWA4MFcJVEYRzcKNk1VCcZs,google-places-farms-expansion.json
yes,Bonnarps Hjortgård & Veterinär,Skåne,,"Bonnarp 664, 264 53 Ljungbyhed, Sverige",http://www.bonnarpshjort.se/,0435-182 86,annat,yes,no,"måndag: 10:00–20:00, tisdag: 10:00–20:00, onsdag: 10:00–20:00, torsdag: 10:00–20:00, fredag: 10:00–20:00, lördag: 10:00–20:00, söndag: 10:00–20:00",,4.7,35,google-places:gårdsbutik,ChIJ7WpTMofcU0YRsrrT0vCcPpM,google-places-farms-expansion.json
yes,Bosjökloster Trädgårdscaféet - en del av Bosjökloster Slott,Skåne,Höör,"Bosjökloster 110, 243 95 Höör, Sverige",https://mymenuweb.com/int/restaurants/2332600/?utm_source=google_profile&utm_medium=google_profile&utm_campaign=admin,,grönsaker,yes,yes,"måndag: 11:00–15:00, tisdag: Stängt, onsdag: Stängt, torsdag: Stängt, fredag: 11:00–16:00, lördag: 11:00–16:00, söndag: 11:00–16:00",,4.2,169,google-places:gårdscafé,ChIJB7pHDErtU0YRznhR-bfC-bQ,google-places-farms-expansion.json
yes,Brewski,Skåne,Helsingborg,"Cindersgatan 8, 252 25 Helsingborg, Sverige",http://brewski.se/,,öl,no,yes,,,4.8,142,google-places:bryggeri,ChIJnb_AtrEzUkYRpSm3QxHWe6I,google-places-farms-expansion.json
yes,Bryggeri 1766,Skåne,Hörby,"Fulltofta 4138, 242 94 Hörby, Sverige",http://fulltofta.com/,070-481 05 10,öl,no,yes,,,4.8,6,google-places:bryggeri,ChIJ15uA1dXzU0YRGs5mtb-kLLM,google-places-farms-expansion.json
yes,Bröderna Sibbesson AB,Skåne,,"Lillesjövägen 51, 295 94 Näsum, Sverige",http://www.sibbesson.se/,0456-248 93,grönsaker; bakat,no,no,,,4.4,134,google-places:odlare gård,ChIJX4GyTomiVkYRa07wr0VumeM,google-places-farms-expansion.json
no,Buhres på Kivik,Skåne,,"Kiviks hamn, Brogatan 7, 277 30 Kivik, Sverige",https://www.buhres.se/,0414-702 12,annat,yes,yes,"måndag: 10:00–18:00, tisdag: 10:00–18:00, onsdag: 10:00–18:00, torsdag: 10:00–18:00, fredag: 10:00–18:00, lördag: 10:00–16:00, söndag: 10:00–16:00",,4.1,1681,google-places:gårdsrestaurang,ChIJ95mACrxEVEYR45ZIBmn-2kk,google-places-farms-expansion.json
no,Butik GUL i Kölleröd,Skåne,Hörby,"Kölleröd 7374, 242 91 Hörby, Sverige",http://www.butikgul.se/,070-460 49 04,annat,yes,no,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: Stängt, fredag: 11:00–16:00, lördag: 11:00–16:00, söndag: 11:00–16:00",,4.4,148,google-places:gårdsbutik,ChIJYfKhgbsKVEYRwvSxGzMUXOU,google-places-farms-expansion.json
