"Gräsljunga Gårdsprodukter","Skåne",Visseltofta,"1405, 283 95 Visseltofta, Sverige",https://www.grasljunga.se/,"070-833 09 19","","[""annat""]",0,0,0,,free,0
"Grönalunds-För det goda på bordet Gårdsbutik","Skåne","Hästveda","Rävninge 2147, 282 76 Hästveda, Sverige",http://gronabi.se/,"070-211 24 64","","[""annat""]",1,0,0,,free,0
"Gunnarshögs Gård","Skåne","Hammenhög","Vallbyvägen 90, 276 56 Hammenhög, Sverige",http://www.gunnarshog.se/,"0414-320 03","","[""annat""]",1,0,0,,free,0
"Gunnebo Trädgård","Skåne",Skivarp,"Landsvägen 9, 274 51 Skivarp, Sverige",http://www.gunnebotradgard.com/,"0411-302 01","","[""grönsaker""]",0,0,0,,free,0
"Gårdsbutiken På Gröneröd","Skåne","Hörby","Köinge 6926, 242 92 Hörby, Sverige",https://gronerodgard.se/,"076-600 66 82","","[""annat""]",1,0,0,,free,0
"Gårdsbutiken Viby Potatis","Skåne",Kristianstad,"Viby kyrkväg 22, 291 51 Kristianstad, Sverige",http://www.vibypotatis.se/,"070-912 80 09","","[""grönsaker""]",1,0,0,,free,0
"Gårdsfisk","Skåne","Åhus","Södra Piggagatan, 296 33 Åhus, Sverige",http://gardsfisk.se/,"","","[""grönsaker"",""fisk""]",0,0,0,,free,0
"Gårdstånga Vägkrog","Skåne",Flyinge,"104, 247 47 Flyinge, Sverige",http://gardstangavagkrog.se/,"046-521 21","","[""annat""]",1,1,0,,free,0
"Göinge Fridhem Trädgårds Ab","Skåne","Önnestad","Fridhemsvägen 258, 291 93 Önnestad, Sverige",https://www.goingefridhemstradgard.se/,"070-828 75 26","","[""grönsaker""]",1,0,0,,free,0
"Hallongården","Skåne",Trelleborg,"Bodarpsvägen 144, 231 94 Trelleborg, Sverige",http://www.hallongarden.se/,"040-675 05 04","","[""grönsaker"",""bär""]",1,0,0,,free,0
"Hattmakarens Bryggeri","Skåne","Mörarp","Bjuvsleden 8, 253 56 Mörarp, Sverige",https://m.facebook.com/hattmakarensbryggeri/,"076-105 46 97","","[""öl""]",0,1,0,,free,0
"Helgagårdens Gårdsbutik & Ostbutik","Skåne",Blentarp,"Hemmestorpsvägen 21, 275 63 Blentarp, Sverige",http://www.islandshastarskane.se/,"070-575 07 73","","[""annat""]",1,0,0,,free,0
"Helsingborgs Bryggeri Aktiebolag","Skåne",Helsingborg,"Bredgatan 25, 252 25 Helsingborg, Sverige",http://www.helsingborgsbryggeri.se/,"042-453 08 80","","[""öl""]",0,1,0,,free,0
"Hobjersgården","Skåne",Tomelilla,"HOBJERSGÅRDEN, 273 94 Tomelilla, Sverige",http://www.hobjersgarden.se/,"","","[""vin""]",0,1,0,,free,0
"Holländarehusgårdens gårdsbutik","Skåne","Bjärred","Västervångsvägen 4, 237 41 Bjärred, Sverige",https://www.facebook.com/Holl%C3%A4ndarehusg%C3%A5rdens-G%C3%A5rdsbutik-819874784763706/,"","","[""annat""]",1,0,0,,free,0
"Hurva Gästgivaregård","Skåne",Hurva,"gästgivaregård, 241 94 Hurva, Sverige",http://www.hurvagastgivaregard.se/,"0413-315 15","","[""annat""]",1,1,0,,free,0
"Hyllie Bryggeri","Skåne","Malmö","Stormgatan 15, 211 20 Malmö, Sverige",http://hylliebryggeri.se/,"076-021 58 60","","[""öl""]",0,1,0,,free,0
"Hällåkra Vingård","Skåne","Anderslöv","Hällåkravägen 47, 231 72 Anderslöv, Sverige",http://www.hallakra.com/,"0410-280 00","","[""vin""]",0,1,0,,free,0
"Höganäs Bryggeri","Skåne","Höganäs","Bruksgatan 36, 263 39 Höganäs, Sverige",https://hoganasbryggeri.se/,"076-611 00 06","","[""öl""]",0,1,0,,free,0
"Hönsinge Hantwerksbryggeri","Skåne",Klagstorp,"Jordbergavägen 122-0, 231 99 Klagstorp, Sverige",http://www.honsinge.se/,"077-588 81 28","","[""öl""]",0,1,0,,free,0
"Kiviks Musteri","Skåne",Kivik,"Karakåsvägen 45, 277 35 Kivik, Sverige",http://www.kiviksmusteri.se/,"0414-719 00","","[""vin""]",0,1,0,,free,0
"Kiviks Musteri på Solnäs Gård","Skåne","Bjärred","Solnäs gård, Fjelievägen 112, 237 91 Bjärred, Sverige",http://www.kiviksmusteri.se/sv/besoek-oss/solnaes-gard/,"046-24 70 89","","[""vin"",""grönsaker""]",1,0,0,,free,0
"Kiviks Trädgård AB","Skåne","Bromölla","Nybromöllavägen 1, 277 35 Kivik, Sverige",http://www.kivikstradgard.se/,"0414-244 41","","[""grönsaker""]",1,0,0,,free,0
"Klackabacken Bryggeri","Skåne","Önnestad","Tegskiftesvägen 2, 291 73 Önnestad, Sverige",http://www.klackabacken.se/,"044-12 80 11","","[""öl""]",0,1,0,,free,0
"Kollinge Torpargård","Skåne","Kågeröd","2277 Kollinge, 260 23 Kågeröd, Sverige",https://kollingetorpargard.se/,"073-086 40 06","","[""grönsaker""]",0,0,0,,free,0
"Kornheddinge Bryggerikompani","Skåne",Staffanstorp,"Kornheddingevägen 7, 245 91 Staffanstorp, Sverige",http://www.kornheddingebryggerikompani.se/,"070-946 15 62","","[""öl""]",0,1,0,,free,0
"Kulla Gunnarstorp Gårdsbutik","Skåne",Domsten,"Domstensvägen 49, 255 91 Domsten, Sverige",https://kullagardsbutik.se/,"042-943 46","","[""annat""]",1,0,0,,free,0
"Kullabergs Vingård","Skåne","Nyhamnsläge","Lyckerisvägen 52, 263 76 Nyhamnsläge, Sverige",http://www.kullabergs.se/,"042-444 21 00","","[""vin""]",0,1,0,,free,0
"Kullabygdens Musteri AB","Skåne","Mjöhult","Mjöhultsvägen 354, 263 93 Mjöhult, Sverige",http://www.kullamust.se/,"042-651 00","","[""vin""]",0,1,0,,free,0
"Kungsgårdens Musteri","Skåne","Eslöv","Remmarlövs Gård, 241 92 Eslöv, Sverige",https://www.facebook.com/Kungsg%C3%A5rdens-musteri-110591234687812/,"070-291 93 40","","[""vin""]",0,1,0,,free,0
"Källunda Gård","Skåne","Sösdala","Västra HÄGLINGE 2124, 282 73 Sösdala, Sverige",http://www.kallunda.se/,"070-872 54 40","","[""annat""]",1,0,0,,free,0
"Kävlinge Bryggeri AB","Skåne","Kävlinge","Besöksadress: Kvarngatan 70 Postadress: Kvarngatan 32B, 24431, Kvarngatan 70, 244 32 Kävlinge, Sverige",http://kavlingebryggeri.se/,"070-545 61 53","","[""öl""]",0,1,0,,free,0
"Köpingsbergs vingård","Skåne","Köpingebro","Köpingsbergsvägen 183, 271 73 Köpingebro, Sverige",http://www.kopingsberg.se/,"070-146 71 17","","[""vin""]",0,1,0,,free,0
"Lackalänga Trädgård","Skåne",Lund,"Nyhemsvägen 82-32, 244 94 Furulund, Sverige",http://lackalangatradgard.se/,"046-71 05 45","","[""grönsaker""]",0,0,0,,free,0
"Lavelunds Gårdsbutik","Skåne","Köpingebro","Fallenbjärsvägen 129, 271 73 Köpingebro, Sverige",http://www.lavelund.se/,"070-547 47 64","","[""annat""]",1,0,0,,free,0
"Lillgårdens Bi och Trädgård","Skåne","Höör","Maglasäte Lillgården 506, 243 91 Höör, Sverige",http://www.lillgardens.com/,"070-362 90 41","","[""grönsaker""]",1,0,0,,free,0
"Ljungbyholms Vingård","Skåne","Förslöv","Ljungbyholmsvägen 231, 269 71 Förslöv, Sverige",http://ljungbyholmsvingard.se/,"079-304 43 47","","[""vin""]",0,1,0,,free,0
Lundabryggeriet,"Skåne","Torna-hällestad","Fridhillsvägen 2, 247 45 Torna-hällestad, Sverige",http://lundabryggeriet.se/,"070-838 00 95","","[""öl""]",0,1,0,,free,0
"Lundabryggeriets Ölkällare","Skåne",Lund,"Sankt Laurentiigatan 5 A, 222 21 Lund, Sverige",https://lundabryggeriet.se/olkallaren/,"046-644 00","","[""öl""]",0,1,0,,free,0
"Lundabygdens Musteri","Skåne","Södra Sandby","Vallebergs gård 741, 247 91 Södra Sandby, Sverige",http://www.lundabygdensmusteri.se/,"073-027 16 67","","[""vin""]",0,1,0,,free,0
"Majas Cottage Gårdsbutik & Bistro","Skåne",Vellinge,"Eskilstorps ängaväg 2-36, 235 91 Vellinge, Sverige",https://majascottage.com/,"040-36 50 10","","[""annat""]",1,0,0,,free,0
"Mossagårdens Ekologiska Odling & Gårdsbutik","Skåne",Lund,"Mossagården, 247 96 Lund, Sverige",http://www.mossagarden.se/,"046-855 44","","[""grönsaker""]",1,0,0,,free,0
"Möllegårdens Morötter AB","Skåne","Löddeköpinge","Vikhögsvägen 55, 246 31 Löddeköpinge, Sverige",http://mollegardens.se/,"","","[""grönsaker""]",1,0,0,,free,0
"Mölleholmen Gårdsbutik","Skåne","Åhus","Åvägen 62, 296 39 Åhus, Sverige",https://molleholmen.se/,"070-575 04 00","","[""annat""]",1,0,0,,free,0
"Möllers bryggeri","Skåne",Ystad,"Långgatan 20, 271 43 Ystad, Sverige",http://www.mollersbryggeri.se/,"0411-192 00","","[""öl""]",0,1,0,,free,0
"Nedanbäcks Gård AB","Skåne","Glimåkra","NEDANBÄCK 2065, 289 94 Glimåkra, Sverige",https://www.nedanback.se/,"070-229 24 77","","[""annat""]",1,1,0,,free,0
"Norregårdens Fågelfrö / Julgranar","Skåne",Dalby,"Sjöstorp 242, 247 94 Dalby, Sverige",https://norregarden.se/,"070-890 54 67","","[""grönsaker""]",1,0,0,,free,0
"Nyåkra köksträdgård","Skåne","Hörby","nyåkra 6840, 242 92 Hörby, Sverige",http://www.nyakratradgard.se/,"072-308 01 94","","[""grönsaker""]",1,0,0,,free,0
"Ottarps Torp Gårdsbutik","Skåne","Hästveda","OTTARP 2186, 282 76 Hästveda, Sverige",https://www.ottarpstorp.se/,"070-417 45 66","","[""annat""]",1,0,0,,free,0
